id	P_syn	pi_syn	syn_length	P_nonsyn	pi_nonsyn	nonsyn_length	P_nonsense	pi_nonsense	nonsense_length	pin_pis	pinonsense_pis	div_syn_count	div_nonsyn_count	div_nonsense_count	div_syn	div_nonsyn	div_nonsense	KnKs	KnonsenseKs	geneID
AT1G02010.4	1	0.000997653337599654	463	1	0.000556428300843918	1649	0	0	1649	0.557737121576398	0	19	8	1	0.0556640625	0.00661339211904106	0.000826674014880132	0.118809009296457	0.0148511261620571	AT1G02010
AT1G04850.1	1	0.00179744479762637	273	0	0	969	0	0	969	0	0	29	8	0	0.106227106227106	0.00825593395252838	0	0.0777196541048361	0	AT1G04850
AT1G05430.1	4	0.00920635572330811	185	6	0.00341971910730035	625	0	0	625	0.371451984919778	0	19	28	0	0.102702702702703	0.0448	0	0.436210526315789	0	AT1G05430
AT1G07030.1	0	0	223.333333333333	0	0	757.666666666667	0	0	757.666666666667	NA	NA	33	10	0	0.147761194029851	0.0131984161900572	0	0.089322614619579	0	AT1G07030
AT1G09960.1	16	0.0165552304565492	378.666666666667	6	0.00214284577023697	1154.33333333333	0	0	1154.33333333333	0.12943617884759	0	53	9	1	0.140459363957597	0.00784883720930232	0.000872093023255814	0.0558797718297499	0.00620886353663888	AT1G09960
AT1G10120.1	5	0.0079174775244467	236	2	0.000920510363333434	865	0	0	865	0.11626308511659	0	21	10	0	0.0898716119828816	0.0116504854368932	0	0.12963476652797	0	AT1G10120
AT1G12790.1	2	0.00345467502836525	166.333333333333	2	0.00112643464629205	586.666666666667	0	0	586.666666666667	0.326060957121363	0	18	13	0	0.108216432865731	0.0221590909090909	0	0.204766414141414	0	AT1G12790
AT1G19715.3	2	0.000621525861839353	402	3	0.000689388041222222	1404	0	0	1404	1.10918641290651	0	48	31	3	0.121110176619008	0.022420443587271	0.00216972034715526	0.185124357119897	0.0179152603664417	AT1G19715
AT1G22670.1	8	0.0116289910311198	298.333333333333	5	0.00219359013386487	970.666666666667	0	0	970.666666666667	0.188631165678492	0	25	45	0	0.0847457627118644	0.0467775467775468	0	0.551975051975052	0	AT1G22670
AT1G24575.1	1	0.00351540506129167	48	1	0.000754744782821918	219	0	0	219	0.214696391927194	0	6	3	0	0.125874125874126	0.0138674884437596	0	0.110169491525424	0	AT1G24575
AT1G26760.1	6	0.00531516253460339	349.666666666667	2	0.000352642165684347	1288.33333333333	0	0	1288.33333333333	0.0663464500640449	0	60	35	0	0.171919770773639	0.0272161741835148	0	0.158307413167444	0	AT1G26760
AT1G29890.2	1	0.00117564716934478	381	1	0.000375925050089025	1374	0	0	1374	0.319760094602651	0	36	19	7	0.0951541850220264	0.013953488372093	0.00514075887392901	0.146640826873385	0.0540255677954576	AT1G29890
AT1G31760.1	0	0.00406453311022609	77.6666666666667	2	0.00195781501363431	261.333333333333	0	0	261.333333333333	0.48168263378359	0	9	5	0	0.11587982832618	0.0191326530612245	0	0.165107709750567	0	AT1G31760
AT1G33250.1	7	0.00406362728577593	388	4	0.00095109778234745	1259	0	0	1259	0.234051431261084	0	69	14	0	0.178294573643411	0.0111376292760541	0	0.0624675728961295	0	AT1G33250
AT1G43650.1	2	0.00430735144246742	235.333333333333	2	0.00092338807656477	796.666666666667	0	0	796.666666666667	0.214374909709206	0	22	13	0	0.0934844192634561	0.0163179916317992	0	0.174553062000761	0	AT1G43650
AT1G47900.1	11	0.00699761842623652	659.333333333333	8	0.00121222902956392	2505.66666666667	1	3.53986700992417e-05	2505.66666666667	0.173234514334027	0.00505867395777394	109	68	0	0.165318503538928	0.0271384860981775	0	0.164158793584694	0	AT1G47900
AT1G48650.2	4	0.00142648786199293	811.333333333333	3	0.000348922868031287	2809.66666666667	0	0	2809.66666666667	0.244602759916802	0	76	39	0	0.0953177257525084	0.0141423909101898	0	0.148371048496377	0	AT1G48650
AT1G51990.1	2	0.0044863544727794	235	2	0.00126080572774656	857	0	0	857	0.281031232684888	0	11	20	0	0.160194174757282	0.0748129675810474	0	0.467014282475629	0	AT1G51990
